,isim,baslangicT,bitisTarih,sezonSayisi,sezonDurumu,tur,konuPuan,aktorS,OyuncuKadroPuan,imdb
404,Sakarya-Firat,2009,2013,5,,Action,16.666666666666668,"Sezen Aray,Erkan Kolçak Köstendil,Çagdas Onur Öztürk,Ismail Hakki",,7.0
405,Koca Kafalar Baba Haber Bulteni,2009,2018,10,,Comedy,16.0,Vural Yasaroglu,,6.7
406,Aile Reisi,2009,2018,10,,Comedy,16.0,"Pinar Altug,Emre Kinay,Damla Deniz Turgut,Yeliz Baslangic",,3.5
407,Acemi Müezzin,2009,2018,10,,Comedy,16.666666666666668,"Burak Altay,Erkan Avci,Bertan Benli,Istemi Betil",,6.6
408,The Crossroads with Martin Anthony,2009,2010,2,,Talk-Show,14.0,"Martin Anthony,Stewart Copeland,Thomas Buesch,Michael Constantine",,6.9
409,Deniz yildizi,2009,2018,10,,Drama,18.0,"Arda Artun Konak,Feyyaz Gümüs,Mert Ögüt,Erdogan Gizem",,2.3
410,Bahar Dallari,2009,2010,2,,Drama,18.0,"Luran Ahmeti,Bilgen Akalan,Mehmet Akif Alakurt,Hande Alpaslan",,6.4
411,Siki dostlar,2009,2018,10,,Comedy,16.0,"Bahar Akça,Ömür Arpaci,Bihter Dinçel,Alp Kirsan",,7.4
412,Haneler,2009,2010,2,,Comedy,16.0,"Ahmet Saraçoglu,Serdar Orçin,Firat Dogruloglu,Murat Akkoyunlu",,7.2
413,Ramazan Güzeldir,2009,2018,10,,Comedy,16.0,"Burak Aksak,Zeynep Aydin,Ilker Ayrik,Erman Bagri",,7.5
414,Bir Zahmet,2009,2010,2,,Comedy,16.0,Gokhan Yikilkan,,7.8
415,Altin kizlar,2009,2018,10,,Comedy,16.0,"Fatma Girik,Hülya Koçyigit,Nevra Serezli,Türkan Soray",,4.9
416,Unutulmaz,2009,2011,3,,Drama,18.0,"Ayla Algan,Aylin Arasil,Murat Bölücek,Deniz Gökçer",,7.5
417,Ask Bir Hayal,2009,2011,3,,Action,17.0,"Bahadir B. Bingöl,Murat Bölücek,Irem Sultan Cengiz,Nehir Erdogan",,4.8
418,Kelime oyunu,2009,2018,10,,Game-Show,12.0,Ali Ihsan Varol,,7.4
419,Ask ve ceza,2010,2011,2,,Action,16.666666666666668,"Murat Yildirim,Nurgül Yesilçay,Tomris Incer,Feride Çetin",,5.9
420,Gönülçelen,2010,2011,2,,Comedy,13.333333333333334,"Tuba Büyüküstün,Günay Karacaoglu,Zeynep Tugçe Bayat,Dilsad Çelebi",,5.7
421,Türk mali,2010,2018,9,,Comedy,16.0,"Miray Akay,Serenay Aktas,Bekir Aksoy,Selin Altay",,3.6
422,Mükemmel çift,2010,2018,9,,Comedy,16.0,"Tardu Flordun,Songül Öden,Seda Akman,Zafer Algöz",,5.1
423,Dürüye'nin gügümleri,2010,2018,9,,Comedy,16.0,"Didem Uzel,Neslihan Yeldan,Ipek Tuzcuoglu,Emre Kinay",,4.3
424,Bitmeyen sarki,2010,2011,2,,Comedy,13.333333333333334,"Bergüzar Korel,Bülent Inal,Tuncer Salman,Celil Nalcakan",,4.3
425,Küçük Sirlar,2010,2018,9,,Drama,18.0,"Sinem Kobal,Burak Özçivit,Merve Bolugur,Ipek Karapinar",,3.7
426,Güneydogu'dan Öyküler - Önce Vatan,2010,2018,9,,Drama,16.666666666666668,"Melisa Sözen,Serhat Tutumluer,Umut Kurt,Arsen Gürzap",,6.9
427,Fatmagül'ün Suçu Ne?,2010,2012,3,,Drama,17.0,"Beren Saat,Engin Akyürek,Firat Çelik,Murat Daltaban",,5.5
428,Öyle Bir Geçer Zaman ki,2010,2013,4,,Adventure,16.666666666666668,"Ayça Bingöl,Yildiz Çagri Atiksoy,Aras Bulut Iynemli,Mete Horozoglu",,6.6
429,Yer Gök Ask,2010,2018,9,,Romance,16.0,"Ugur Aslan,Sahin Ergüney,Tolga Sala,Cansin Özyosun",,3.6
430,Behzat Ç.: Bir Ankara Polisiyesi,2010,2013,4,,Crime,15.666666666666666,"Erdal Besikçioglu,Fatih Artman,Inanç Konukçu,Seda Bakan",,8.7
431,Karadaglar,2010,2018,9,,Drama,18.0,"Ahmet Rifat Sungar,Helin Melike Çal,Gülçin Tunçok,Erdal Özyagcilar",,5.5
432,Sen Yuva,2010,2018,9,,Comedy,16.0,"Caner Alkaya,Aysegül Atik,Seda Bakan,Mehtap Bayri",,7.5
433,Yahsi cazibe,2010,2018,9,,Comedy,16.0,"Melisa Toros,Mert Can Sevimli,Aron Buniel,Seyla Halis",,5.6
434,Kizim nerede,2010,2011,2,,Action,16.333333333333332,"Erkan Bektas,Serkan Senalp,Nihan Balyali,Erdeniz Kurucan",,6.1
435,Türkan,2010,2018,9,,Biography,6.0,"Özgürcan Cevik,Fatih Koyunoglu,Pinar Ögün,Ruzgar Aksoy",,5.3
436,Rise of the Rebellion,2010,2018,9,,Action,15.0,"Ali Gult,Pinar Kefeli,Iain Maynard,Taner Uzum",,7.1
437,Lale Devri,2010,2014,5,,Drama,18.0,"Tolgahan Sayisman,Hatice Aslan,Kenan Bal,Gül Onat",,3.5
438,Kanit,2010,2013,4,,Crime,15.0,"Askin Ibik,Murat Çelik,Nazli Bektas,Sebahat Adalar",,7.1
439,Kiliç Günü,2010,2018,9,,Action,16.666666666666668,"Tansel Öngel,Melike Güner,Nur Erkul,Ertan Saban",,7.3
440,Elde Var Hayat,2010,2012,3,,Drama,18.0,"Emre Altug,Meral Asiltürk,Yesim Ceren Bozoglu,Rojda Demirer",,7.1
441,Cakil Taslari,2010,2018,9,,Comedy,16.0,"Ümit Belen,Murat Bölücek,Kadir Dogulu,Hakan Gerçek",,6.2
442,Cuma'ya Kalsa,2010,2018,9,,Comedy,16.0,"Nilgün Belgün,Haluk Bilginer,Ümit Erdim,Aysun Kayaci",,5.6
443,Sefkat Tepe,2010,2014,5,,Action,16.333333333333332,"Mert Kiliç,Bora Karakul,Ertugrul Sakar,Mehmet Korhan Firat",,5.6
444,Farkli Desenler,2010,2013,4,,Action,16.333333333333332,"Kamil Adigüzel,Mutlu Albayram,Iskender Altin,Emre Emin Aravi",,6.4
445,Ogretmen Kemal,2010,2011,2,,Drama,18.0,"Bülent Emin Yarar,Esin Varan,Asena Tugal,Berat Akca",,2.6
446,Yok Böyle Dans,2010,2011,2,,Game-Show,10.0,"Almeda Abazi,Azra Akin,Altay,Sibel Arna",,4.5
447,Ihanet,2010,2010,1,,Action,17.0,"Selahattin Acar,Toygun Ates,Nejmi Aykar,Sedat Bilenler",,6.4
448,Yerden Yüksek,2010,2010,1,,Comedy,16.0,"Yasemin Kay Allen,Zafer Altun,Hakan Altuntas,Enis Arikan",,7.2
449,Adini Feriha Koydum,2011,2012,2,,Drama,17.0,"Çagatay Ulusoy,Deniz Ugur,Yusuf Akgün,Feyza Civelek",,5.4
450,Leyla ile Mecnun,2011,2014,4,,Adventure,17.0,"Ali Atay,Cengiz Bozkurt,Serkan Keskin,Osman Sonant",,9.2
451,Derin Sular,2011,2018,8,,Drama,18.0,"Alican Albayrak,Hilal Altinbilek,Nese Arat,Deniz Baysal",,6.5
452,Muhtesem Yüzyil,2011,2014,4,,Biography,10.666666666666666,"Halit Ergenç,Nur Fettahoglu,Selim Bayraktar,Selen Öztürk",,6.6
453,Dinle Sevgili,2011,2018,8,,Drama,18.0,"Ayça Aysin Turan,Evrim Dogan,Esin Yildiz,Baris Arduç",,3.5
454,Altin Elbiseli Adam,2011,2018,8,,Sport,12.0,Barkin Bayoglu,,7.7
455,Kuzey Güney,2011,2013,3,,Drama,18.0,"Kivanç Tatlitug,Bugra Gülsoy,Öykü Karayel,Mustafa Avkiran",,7.5
456,Umutsuz Ev Kadinlari,2011,2018,8,,Drama,16.0,"Devrim Özder Akin,Furkan Andic,Erdal Bilingen,Metin Büktel",,4.9
457,Seni Bana Yazmislar,2011,2018,8,,Comedy,16.0,"Erdem Akakçe,Basri Albayrak,Gümeç Alpay Aslan,Cemal Hünal",,5.9
458,Hayat Devam Ediyor,2011,2018,8,,Drama,18.0,"Meltem Miraloglu,Melda Arat Mutlu,Onur Tuna,Hakan Vanli",,4.3
459,Yalanci Bahar,2011,2018,8,,Drama,16.666666666666668,"Cansel Elcin,Fahriye Evcen Özçivit,Serkan Ercan,Merve Sevi",,5.5
460,Extreme-G,2011,2018,8,,Sport,12.0,"Hayko Cepkin,Doruk Cetin,Sezai Calli,Meric Alural",,5.3
461,Kesanli Ali Destani,2011,2018,8,,Drama,18.0,"Sevki Altunbuken,Belçim Bilgin,Bahtiyar Engin,Beyti Engin",,5.3
462,Mavi Kelebekler,2011,2018,8,,Drama,18.0,"Onur Azad Yilmaz,Sarp Akkaya,Recep Aktug,Münir Akça",,6.2
463,Beni Affet,2011,2018,8,,Drama,18.0,"Arda Artun Konak,Nejdet Erdem,Zafer Gokcek,Hazal Filiz Küçükköse",,2.2
464,5'er beser,2011,2018,8,,Comedy,16.0,"Alper Kul,Asli Sahin,Irem Sak,Ruhi Sari",,7.3
465,Mucize Lezzetler,2011,2018,8,,Family,15.0,Refika Birgul,,7.4
466,Üsküdar'a Giderken,2011,2018,8,,Comedy,16.0,"Öner Erkan,Tülin Özen,Murat Cemcir,Erkan Can",,8.2
467,Yamak Ahmet,2011,2012,2,,Drama,18.0,"Boglarka Csösz,Yunus Emre Kilinc,Leyla Okay,Dilek Pehlivan",,7.5
468,Araf Zamani,2011,2012,2,,Drama,18.0,"Arda Tugra Asik,Güray Kip,Saruhan Hünel,Sermin Hürmeriç",,6.3
469,Alemin Kirali,2011,2013,3,,Comedy,16.0,"Elvin Levinler,Cengiz Esiyok,Esvet Sahin,Ramazan Dogan",,4.1
470,Canim babam,2011,2018,8,,Comedy,16.0,"Mehmet Aslantug,Özge Özberk,Neslihan Atagül,Merve Ates",,6.5
471,Iffet,2011,2012,2,,Drama,17.0,"Ibrahim Celikkol,Melike Güner,Mahir Günsiray,Zuhal Olcay",,4.6
472,Bizim Yenge,2011,2018,8,,Comedy,16.0,"Nihan Balyali,Berna Koraltürk,Gözde Mutluer,Özlem Tekin",,5.5
473,Umut Yolculari,2011,2012,2,,Crime,15.0,"Manolya Asik,Yunus Günçe,Marius Toma,Özgür Özaslan",,6.7
474,Tövbeler Tövbesi,2011,2012,2,,Drama,18.0,"Keremcem,Neslihan Maltepe,Gözde Mutluer,Cemal Toktas",,4.3
475,Kayip Araniyor,2011,2018,8,,Crime,15.0,"Levent Üzümcü,Irem Altug,Özcan Varayli,Levent Sülün",,5.3
476,Mazi Kalbimde Yaradir,2011,2018,8,,Drama,18.0,"Selçuk Yöntem,Sedef Avci,Özgür Çevik,Berk Hakman",,7.5
477,Burada laf cok,2011,2018,8,,Talk-Show,14.0,"Mesut Yar,Deniz Ugur,Hayko Cepkin,Zeynep Eronat",,6.6
478,Bir Çocuk Sevdim,2011,2012,2,,Drama,17.0,"Aybars Kartal Özson,Songül Bayoglu,Hasan Say,Mert Ögüt",,6.7
479,Pis Yedili,2011,2014,4,,Comedy,16.0,"Kadir Dogulu,Eda Ece,Günes Zavrak,Halil Babür",,2.5
480,Firar,2011,2012,2,,Drama,18.0,"Sebnem Hassanisoughi,Caner Cindoruk,Ismail Hacioglu,Lila Gürmen",,3.7
481,Mor Menekseler,2011,2012,2,,Crime,15.0,"Berkay Akin,Zafer Algöz,Ozan Arabaci,Ömür Arpaci",,7.2
482,Al Yazmalim,2011,2012,2,,Drama,18.0,"Seçkin Özdemir,Özge Özpirinçci,Baris Falay,Saygin Soysal",,6.8
483,Sen de Gitme,2011,2018,8,,Drama,18.0,"Eslem Akar,Sezin Akbasogullari,Ilker Aksum,Sinan Albayrak",,6.3
484,Küçük Hanimefendi,2011,2012,2,,Drama,18.0,"Cansu Tosun,Baris Bagci,Arsen Gürzap,Derya Alabora",,6.9
485,Avrupa Avrupa,2011,2013,3,,Comedy,16.0,"Hikmet Aktas,Sehsuvar Aktas,Buse Arslan,Egemen Bagis",,7.0
486,Izmir çetesi,2011,2018,8,,Adventure,17.0,"Nilay Tugba Baz,Melis Caba,Cem Davran,Kenan Ece",,5.3
487,Zehirli Sarmasik,2011,2011,1,,Crime,16.5,"Hamdi Alp,Dogu Alpan,Yesim Büber,Nurseli Idiz",,6.6
488,Kursun bilal,2011,2012,2,,Crime,15.0,"Leyla Göksun,Koray Kadiraga,Arda Kural,Cem Kurtoglu",,5.9
489,Nuri,2011,2011,1,,Comedy,16.0,"Selin Altay,Hakan Altiner,Elcin Atamgüc,Baris Basar",,4.1
490,Kalbim Seni Seçti,2011,2012,2,,Drama,18.0,"Meryem Akar,Öncil Aktarici,Serenay Aktas,Fikret Altunhan",,5.8
491,Istanbul'un Altinlari,2011,2011,1,,Comedy,16.0,"Demet Akbag,Önder K. Açikbas,Vedat Baltaci,Haluk Bilginer",,6.7
492,Karakol,2011,2011,1,,Action,16.333333333333332,"Seda Akman,Ruzgar Aksoy,Mustafa Avkiran,Müge Boz",,7.6
493,O Ses Türkiye,2011,2018,8,,Music,9.0,"Acun Ilicali,Hadise,Murat Boz,Ebru Gündes",,6.4
494,Nazli Tolga ile Fox Ana Haber,2011,2013,3,,News,15.0,"Nazli Tolga,Gülbin Tosun",,8.2
495,Isimsizler,2012,2018,7,,Adventure,17.0,"Goksenin Aktas,Umut Eskibatman,Oguz Oztas,Gulistan Sarbas",,3.6
496,Kalbim 4 Mevsim,2012,2018,7,,Drama,17.0,"Cavit Çetin Güner,Mehmet Feim Mehmedof,Sedat Mert,Alim Muzaffer",,4.6
497,Yalan Dünya,2012,2014,3,,Comedy,16.0,"Gülse Birsel,Altan Erkekli,Füsun Demirel,Olgun Simsek",,7.0
498,1 Erkek 1 Kadin,2012,2018,7,,Comedy,16.0,"Demet Evgar,Emre Karayel,Hare Sürel,Beyaz",,7.7
499,Son,2012,2012,1,,Adventure,16.333333333333332,"Mehrnoush Esmaeilpour,Erkan Can,Engin Altan Düzyatan,Selcuk Eisen",,7.3
500,Acayip hikayeler,2012,2012,1,,Fantasy,12.0,"Hayko Cepkin,Levent Güner,Zeynep Tuncay,Bülent Polat",,7.5
501,Son Yaz - Balkanlar 1912,2012,2012,1,,Drama,17.0,"Hazal Kaya,Tugçe Kazaz,Furkan Palali,Tardu Flordun",,5.9
502,Evlerden Biri,2012,2018,7,,Drama,17.0,"Dilara Aksüyek,Gümeç Alpay Aslan,Cumhuriyet Kiper,Özcan Varayli",,6.5
503,Sudan Bikmis Baliklar,2012,2018,7,,Romance,16.0,"Konca Cilasun,Burak Sagyasar,Ezgi Eyüboglu,Övül Avkiran",,6.0
504,Suskunlar,2012,2012,1,,Action,16.333333333333332,"Murat Yildirim,Asli Enver,Sarp Akkaya,Güven Murat Akpinar",,8.3
505,Bir zamanlar Osmanli: Kiyam,2012,2018,7,,History,8.0,"Kerem Atabeyoglu,Incinur Dasdemir,Ayfer Dönmez,Bedia Ener",,5.6
506,Isler Güçler,2012,2013,2,,Comedy,16.0,"Adnan Sur,Yakup Sariyildiz,Murat Cemcir,Ahmet Kural",,8.5
507,Canimin içi,2012,2018,7,,Comedy,16.0,"Perran Kutman,Levent Öktem,Hare Sürel,Sercan Badur",,5.3
508,Ibreti Ailem,2012,2018,7,,Comedy,16.0,"Müjdat Gezen,Zafer Algöz,Sebnem Sönmez,Olkan Serdar Yildiz",,6.3
509,Atlilar,2012,2018,7,,Fantasy,14.0,"Ivaylo Asparuhov,Kristian Kiehling,Asli Tandogan,Konstantin Gerginov Timmy",,5.0
510,Karadayi,2012,2015,4,,Action,16.333333333333332,"Kenan Imirzalioglu,Bergüzar Korel,Çetin Tekindor,Riza Kocaoglu",,7.4
511,Seksenler,2012,2017,6,,Comedy,15.5,"Ayse Tolga,Berat Yenilmez,Vural Çelik,Serhat Mustafa Kiliç",,7.0
512,Krem,2012,2018,7,,Comedy,16.0,"Duygu Yetis,Kenan Ece,Ebru Akel,Haktan Pak",,4.3
513,Eve Dusen Yildirim,2012,2012,1,,Drama,18.0,"Gizem Karaca,Seda Akman,Murat Han,Mehmetcan Mincinozlu",,4.7
514,Nameless,2012,2018,7,,Action,16.333333333333332,"Hakan Yildiz,Umut Orkun Eskibatman,Oguz Oztas,Goksenin Aktas",,7.2
515,Sizinkiler - Çatlak Yumurtalar,2012,2018,7,,Animation,5.0,"Hakan Akin,Sabanur Aksoy,Selim Yegin,Çaglar Çorumlu",,5.0
516,Subat,2012,2013,2,,Crime,15.666666666666666,"Alican Yücesoy,Melisa Sözen,Özkan Ugur,Sermet Yesil",,7.9
517,Dila Hanim,2012,2018,7,,Drama,17.0,"Ayfer Dönmez,Özlem Tokaslan,Anil Yalçin,Görkem Mertsöz",,4.2
518,Kayip Sehir,2012,2018,7,,Drama,18.0,"Can Basak,Deniz Baysal,Sinan Demirer,Dilek Güven",,7.3
519,Merhaba Hayat,2012,2013,2,,Drama,18.0,"Keremcem,Yildiz Kültür,Miray Daner,Ozman Sirgood",,5.7
520,Türk'ün Uzayla Imtihani,2012,2018,7,,Comedy,14.0,"Ufuk Özkan,Sinan Çaliskanoglu,Gunce Mutlu,Ozge Ulusoy",,2.2
521,Hayatimin Rolü,2012,2018,7,,Comedy,17.0,"Merve Ates,Tiraje Basaran,Haluk Bilginer,Edis",,4.8
522,M.U.C.K.,2012,2012,1,,Musical,5.0,"Seda Telciler,Azra Akin,Kivanç Baran Aslan,Mehmet Aslan",,4.2
523,Iki Yaka Bir Ismail,2012,2018,7,,Comedy,16.0,"Rana Cabbar,Giannis Chatzigeorgiou,Stefanos Damatos,Gizem Denizci",,4.4
524,Kötü Yol,2012,2012,1,,Drama,18.0,"Cansel Elcin,Sükran Ovali,Ilker Aksum,Ezgi Mola",,5.7
525,Annem uyurken,2012,2018,7,,Comedy,16.0,"Hümeyra,Seher Devrim Yakut,Bora Akkas,Ruzgar Aksoy",,3.8
526,Uçurum,2012,2013,2,,Action,17.0,"Lavinia Longhi,Mehmet Ali Nuroglu,Erdal Yildiz,Esra Ronabar",,7.5
527,Harem,2012,2018,7,,Comedy,16.0,"Murat Arkin,Serhan Arslan,Önder K. Açikbas,Belma Canciger",,4.1
528,Böyle Bitmesin,2012,2018,7,,Drama,18.0,"Sevcan Yasar,Birce Akalay,Birol Denizci,Serpil Gül",,7.6
529,Bir ferhat ile sirin hikayesi,2012,2018,7,,Drama,18.0,"Ilhami Adsal,Sedef Avci,Murat Aydin,Halis Bayraktaroglu",,6.1
530,Zengin Kiz Fakir Oglan,2012,2018,7,,Adventure,17.0,"Asli Sahin,Mustafa Vuran,Murat Bölücek,Alara Keçeci",,4.7
531,Zil Calinca,2012,2018,7,,Short,12.333333333333334,"Cihan Simsek,Turhan Cihan Simsek,Elif Ceren Balikçi,Merve Hazer",,6.1
532,Iki dünya arasinda,2012,2018,7,,Drama,18.0,"Volkan Bora Dilek,Inanç Benlioglu,Meltem Dag,Basak Zebil",,3.8
533,Babalar ve Evlatlar,2012,2018,7,,Drama,18.0,"Adnan Koç,Nurhak Mine Soz,Murat Ünalmis,Ceren Hindistan",,3.3
534,Siya Mem û Zîn,2012,2013,2,,Drama,18.0,"Özlem Balci,Tuba Dogma,Yaprak Durmaz,Süleyman Karadag",,1.8
535,Ben bilmem esim bilir,2012,2018,7,,Game-Show,12.0,"Ufuk Özkan,Sule Zeybek,Demet Akalin,Pelin Akil",,3.6
536,6 Manti,2012,2013,2,,Comedy,17.0,"Nihan Balyali,Burcu Binici,Ulas Inan Inaç,Didem Inselel",,5.5
537,Last Coup: 28 February,2012,2012,1,,Documentary,10.0,,,7.6
538,Ask Kaç Beden Giyer,2012,2013,2,,Comedy,16.0,"Koray Erkök,Elçin Sangu,Cande Percem",,6.0
539,Köstebekgiller,2012,2014,3,,Animation,16.0,"Orhan Aydin,Asena Keskinci,Oguz Oktay,Inci Türkay",,3.9
540,Insanlar alemi,2012,2012,1,,Comedy,16.0,"Ali Sunal,Alper Kul,Okan Çabalar,Irem Sak",,7.2
541,Yol Ayrimi,2012,2013,2,,Drama,13.0,"Ilhami Adsal,Sevinç Gürsen Akyildiz,Kerem Alisik,Hamdi Alkan",,6.4
542,Kurt Kanunu,2012,2012,1,,Adventure,14.333333333333334,"Ümit Acar,Ali Basar,Pelin Akil,Bahar Kerimoglu",,5.6
543,20 Dakika,2013,2013,1,,Action,16.666666666666668,"Tuba Büyüküstün,Ilker Aksum,Firat Çelik,Günay Karacaoglu",,7.0
544,Intikam,2013,2014,2,,Drama,16.0,"Ceren Reis,Mert Firat,Zafer Algöz,Ezgi Eyüboglu",,5.6
545,Bizim Okul,2013,2013,1,,Comedy,16.0,"Zeki Alasya,Levent Ülgen,Cem Davran,Cezmi Baskin",,2.5
546,Merhamet,2013,2014,2,,Drama,17.0,"Özgü Namal,Ibrahim Celikkol,Burçin Terzioglu,Mustafa Üstündag",,7.2
547,Yagmurdan Kacarken,2013,2018,6,,Comedy,16.0,"Ezgi Asaroglu,Carlos Martín,Furkan Andic,Ali Ersan Duru",,4.5
548,Karagül,2013,2016,4,,Drama,18.0,"Çisem Çanci,Mesut Akusta,Hilal Altinbilek,Can Atak",,4.9
549,Beni Böyle Sev,2013,2015,3,,Comedy,16.0,"Zeynep Çamci,Fatih Koyunoglu,Zafer Algöz,Asli Bekiroglu",,7.2
550,Osmanlida Derin Devlet,2013,2018,6,,Action,16.0,"Hakan Akin,Erol Alpsoykan,Mehmet Aslan,Mehmet Atay",,6.4
551,Bir Ask Hikayesi,2013,2014,2,,Drama,18.0,"Seçkin Özdemir,Damla Sönmez,Yamaç Telli,Elçin Sangu",,7.0
552,Otisabi,2013,2018,6,,Comedy,16.0,"Tim Seyfi,Atilla Pekdemir,Gürkan Kaçar,Özgür Emre Yildirim",,7.0
553,Kahireli Palas,2013,2018,6,,Drama,16.333333333333332,"Buket Orhan,Melda Arat Mutlu,Cem Kurtoglu,Fatma Kabasakal",,2.8
554,Tatar Ramazan: Ben Bu Oyunu Bozarim,2013,2014,2,,Drama,18.0,"Erol Gedik,Sebnem Hassanisoughi,Görkem Türkes,Bülent Inal",,6.8
555,Günesi Beklerken,2013,2014,2,,Drama,18.0,"Kerem Bürsin,Hande Dogandemir,Yagmur Tanrisevsin,Ismail Ege Sasmaz",,6.8
556,Galip Dervis,2013,2014,2,,Crime,15.0,"Algi Eke,Orhan Güner,Engin Günaydin,Ersin Korkut",,7.1
557,Half Life Lambda Protocol,2013,2018,6,,Short,11.333333333333334,"Taner Tuncay,Nermin Koçak",,7.3
558,Güzel Çirkin,2013,2018,6,,Action,16.666666666666668,"Naz Elmas,Ali Sunal,Cahit Gök,Emir Bozkurt",,6.5
559,A.S.K.,2013,2013,1,,Drama,17.0,"Nebahat Çehre,Hazal Kaya,Asli Tandogan,Hakan Kurtas",,4.1
560,Çalikusu,2013,2014,2,,Drama,14.0,"Fahriye Evcen Özçivit,Burak Özçivit,Mehmet Özgür,Bengü Ergin",,7.1
561,Kayip,2013,2018,6,,Action,17.0,"Asli Enver,Nilperi Sahinkaya,Kaan Yildirim,Cankat Aydos",,6.9
562,Medcezir,2013,2015,3,,Comedy,16.666666666666668,"Çagatay Ulusoy,Serenay Sarikaya,Metin Akdülger,Baris Falay",,6.7
563,Fatih Harbiye,2013,2014,2,,Drama,17.0,"Kadir Dogulu,Neslihan Atagül,Serkan Senalp,Yunus Emre Yildirimer",,4.9
564,Ben de Özledim,2013,2014,2,,Comedy,15.0,"Ali Atay,Serkan Keskin,Osman Sonant,Ahmet Mümtaz Taylan",,8.2
565,Eski Hikaye,2013,2018,6,,Drama,18.0,"Mehmet Aykaç,Mehmet Esen,Bugra Gülsoy,Funda Eryigit",,8.1
566,Adini Kalbime Yazdim,2013,2018,6,,Drama,18.0,"Serhan Yavas,Ipek Karapinar,Tolga Güleç,Meltem Miraloglu",,5.2
567,Aramizda Kalsin,2013,2018,6,,Comedy,16.666666666666668,"Erdogan Gizem,Efsane Odag,Didem Soydan,Sevcan Yasar",,7.1
568,Sana Bir Sir Verecegim,2013,2018,6,,Drama,16.0,"Murat Han,Esra Ronabar,Ekin Koç,Demet Özdemir",,6.5
569,Sakli Kalan,2013,2018,6,,Drama,18.0,"Murat Balci,Neslihan Yeldan,Emre Yetim,Özlem Çakar",,6.1
570,Kaçak,2013,2015,3,,Action,16.333333333333332,"Gürkan Uygun,Berk Hakman,Begüm Birgören,Inanç Konukçu",,6.6
571,Askin Bedeli,2013,2018,6,,Drama,18.0,"Nehir Büyükakçay,Elit Cam,Yesim Aliç,Göktug Alpasar",,3.4
572,Inadina Yasamak,2013,2014,2,,Drama,18.0,"Pelin Akil,Burak Demir,Oktay Kaynarca,Duygu Sarisin",,3.1
573,Babam Sinifta Kaldi,2013,2018,6,,Comedy,16.0,"Defne Samyeli,Cagri Citanak,Elvin Levinler,Cem Davran",,3.6
574,Gurbette Ask,2013,2018,6,,Comedy,16.0,"Müge Boz,Cansu Demirci,Bihter Dinçel,Sina Ozer",,5.1
575,Bugünün Saraylisi,2013,2018,6,,Drama,17.0,"Begüm Akkaya,Alihan Araci,Gözde Cigaci,Gülenay Kalkan",,6.1
576,Bebek isi,2013,2018,6,,Comedy,16.0,"Timur Acar,Bora Akkas,Zafer Diper,Mete Horozoglu",,4.4
577,Altindagli,2013,2013,1,,Drama,18.0,"Hande Ataizi,Berk Atan,Basak Sayan,Safak Sezer",,4.6
578,Ali Ayse'yi Seviyor,2013,2018,6,,Comedy,16.0,"Su Kutlu,Deger Soysal,Bihter Dinçel,Yasemin Erkent",,4.7
579,Vicdan,2013,2014,2,,Drama,18.0,"Alp Akar,Yeliz Akkaya,Evrim Alasya,Firat Altunmese",,7.6
580,Doksanlar,2013,2014,2,,Comedy,16.0,"Ertugrul Aytaç Usun,Ayberk Aladar,Birol Denizci,Açelya Akkoyun",,4.8
581,Arkadasim Hosgeldin,2013,2015,3,,Comedy,16.0,"Tolga Çevik,Ezgi Mola,Özer Atik,Firat Parlak",,7.9
582,Misencan,2013,2018,6,,Comedy,16.0,"Murat Sencan,Ata Atabek,Alp Guneyman,Kaan Gure",,7.2
583,Yekta Kopan'la Cumartesi,2013,2018,6,,Talk-Show,14.0,"Yekta Kopan,Cem Yilmaz",,7.3
584,Firuze,2013,2018,6,,Drama,18.0,"Aylin Engör,Ceren Hindistan,Ceyda Ates,Firat Çelik",,5.4
585,Osmanli Tokadi,2013,2014,2,,Comedy,16.0,"Pelin Akil,Efsun Akkurt,Vildan Atasever,Mediha Aydin",,6.2
586,Kizma Kazan,2013,2014,2,,Game-Show,12.0,"Öner Erkan,Ayse Melike Çerçi,Ozan Özcan,Caner Özyurtlu",,6.4
587,Kucuk Gelin,2013,2018,6,,Drama,18.0,"Bengi Öztürk,Devrim Atmaca,Aysen Batigün,Ece Baykal",,5.2
588,Güldür Güldür Show,2013,2018,6,,Comedy,16.0,"Ali Sunal,Alper Kul,Doga Rutkay,Aylin Kontante",,6.7
589,Sevdaluk,2013,2014,2,,Comedy,16.0,"Demet Akbag,Erdem Akin,Muharrem Bayrak,Cengiz Bozkurt",,5.6
590,Ben Onu Çok Sevdim,2013,2014,2,,Drama,14.0,"Mehmet Aslantug,Idil Firat,Birce Akalay,Semsi Inkaya",,5.8
591,Zahide ile Yetis Hayata,2013,2018,6,,Family,13.666666666666666,Zahide Yetis,,5.1
592,Worldvision Song Contest,2013,2018,6,,Documentary,8.0,"Ömer Levent Dilli,Tayfun Atac,Thiago Vlentim,Ali Tuna Dilli",,7.1
593,Ekip 1: Nizama Adanmis Ruhlar,2013,2018,6,,Action,16.333333333333332,"Asli Ozmel,Sidal Damar,Orhan Biyikli,Ahmet Yenilmez",,7.2
594,Firildak Ailesi,2013,2018,6,,Animation,16.0,"Bülent Kayabas,Demet Akbag,Tülay Bursa,Keremcan Köse",,7.6
