,isim,baslangicT,bitisTarih,sezonSayisi,sezonDurumu,tur,konuPuan,aktorS,OyuncuKadroPuan,imdb
264,Genis zamanlar,2007,2009,3,,Drama,18.0,"Zuhal Olcay,Özge Özberk,Oktay Kaynarca,Hakan Eratik",,7.0
265,Kurtlar Vadisi: Terör,2007,2007,1,,Adventure,17.5,"Necati Sasmaz,Gürkan Uygun,Bilal Yilmaz,Emre Korkmaz",,6.2
266,Buzda dans,2007,2009,3,,Family,13.5,"Gamze Özçelik,Behzat Uygur,Alinur Velidedeoglu,Cenk Ertaul",,2.4
267,Affedilmeyen,2007,2009,3,,Action,16.666666666666668,"Burçak Isimer,Damla Özen,Ayca Zeynep Aydin,Kevork Türker",,6.7
268,Yildizlar savasi,2007,2009,3,,Comedy,16.0,"Mehmet Ali Erbil,Fatma Kabasakal,Berna Laçin,Atilla Olgaç",,1.2
269,Tutsak,2007,2009,3,,Action,16.666666666666668,"Ugur Polat,Ezo Sunal,Kaan Urgancioglu,Hülya Darcan",,4.9
270,Kader,2007,2009,3,,Action,16.666666666666668,"Batur Belirdi,Birce Akalay,Hüseyin Soysalan,Özcan Deniz",,4.5
271,Kara duvak,2007,2007,1,,Drama,18.0,"Emel Çölgeçen,Hande Ataizi,Serkan Altunorak,Tuncel Kurtiz",,4.0
272,Elveda derken,2007,2009,3,,Drama,16.333333333333332,"Ece Uslu,Sinan Sümer,Burcu Kara,Gökhan Tepe",,5.3
273,Ayrilik,2007,2009,3,,Drama,18.0,"Sönmez Atasoy,Fadik Sevin Atasoy,Kenan Çoban,Gülseren Gürtunca",,6.6
274,Dicle,2007,2009,3,,Drama,18.0,"Asli Tandogan,Tolgahan Sayisman,Burak Sergen,Alev Gürzap",,3.6
275,Yersiz yurtsuz,2007,2009,3,,Drama,18.0,"Ferdi Tayfur,Serif Sezer,Nesrin Cavadzade,Sinan Albayrak",,5.7
276,Kurtlar Vadisi: Pusu,2007,2009,3,,Action,17.0,"Necati Sasmaz,Erhan Ufak,Adnan Erdogan,Cahit Kayaoglu",,6.3
277,Duvar,2007,2009,3,,Drama,17.0,"Taylan Güner,Sinem Uslu,Bülent Çetinaslan,Ilker Kizmaz",,6.5
278,Kavak Yelleri,2007,2011,5,,Comedy,16.0,"Didem Inselel,Ferit Kaya,Selin Sekerci,Pelin Karahan",,5.3
279,Genco,2007,2008,2,,Drama,16.333333333333332,"Cansin Özyosun,Alpay K. Atalan,Selen Seyven,Faik Ergin",,5.2
280,Sana mecburum,2007,2009,3,,Drama,18.0,"Dogus,Seda Bakan,Umut Tabak,Mehtap Bayri",,2.1
281,Zoraki koca,2007,2009,3,,Comedy,16.0,"Burak Özçivit,Özlem Yilmaz,Isil Yücesoy,Cihat Tamer",,5.5
